rank,article_id,title,url,tier,primary_issue,secondary_issue,action,gsc_clicks,ga4_sessions
75,1002771957,PC cho Designer/Freelance – Đa nhiệm thiết kế & gaming giải trí trong tầm giá 25 – 30 triệu,https://sintech.vn/blogs/huong-dan/pc-cho-designer-freelance-hcm-da-nhiem-thiet-ke-gaming-giai-tri-tr,P2,HERO_IMAGE_TOO_HEAVY,BODY_HTML_LEGACY,resize/nén hero + nén ảnh >300KB + clean HTML cũ,0,0
76,1002416993,Các phím tắt Excel hữu ích cho người bận rộn: nâng cao năng suất công việc với các phím tắt tiện lợi,https://sintech.vn/blogs/news/cac-phim-tat-excel-huu-ich-cho-nguoi-ban-ron-nang-cao-nang-suat-cong,P2,BODY_HTML_LEGACY,CLS_LAYOUT_RISK,clean HTML cũ,0,0
77,1002815115,Quy Trình Sửa Chữa Máy Tính PC Sintech,https://sintech.vn/blogs/huong-dan/quy-trinh-sua-chua-may-tinh-pc-sintech,P2,HERO_IMAGE_TOO_HEAVY,CLS_LAYOUT_RISK,resize/nén hero + nén ảnh >300KB,0,0
78,1002693503,"IPhone Gập: Apple Đã Sẵn Sàng “Gấp Gọn” Thế Giới Của Bạn, Nhưng iPad Gập Thì Vẫn... Ngủ Đông",https://sintech.vn/blogs/news/iphone-gap-apple-da-san-sang-gap-gon-the-gioi-cua-ban-nhung-ipad-g,P2,INLINE_IMAGES_TOO_HEAVY,CLS_LAYOUT_RISK,nén ảnh >300KB + gỡ/thay ảnh external,0,0
79,1002601922,Intel Core Ultra 200HX NPU Tăng Hiệu Suất Chơi Game và Sử Dụng AI Hỗ Trợ Để Chiến Boss Dễ Dàng,https://sintech.vn/blogs/news/intel-core-ultra-200hx-npu-tang-hieu-suat-choi-game-va-su-dung-ai-ho-t,P2,BODY_HTML_LEGACY,IMAGES_MISSING_DIMENSIONS,clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
80,1002399780,"Cấu hình chơi Dota 2 trên PC, Laptop",https://sintech.vn/blogs/news/cau-hinh-may-tinh-choi-game-dota-2,P2,IMAGES_BROKEN,CLS_LAYOUT_RISK,thay ảnh chết + gỡ/thay ảnh external,0,0
81,1002802198,Dịch vụ IT Trọn Gói – Sintech,https://sintech.vn/blogs/huong-dan/dich-vu-it-tron-goi-sintech,P2,BODY_HTML_LEGACY,IMAGES_MISSING_DIMENSIONS,nén ảnh >300KB + clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold,0,0
82,1002583958,AMD Thách Thức NVIDIA Grace & Intel Granite Rapids Với EPYC Thế Hệ 5 Hiệu Suất Vượt Trội,https://sintech.vn/blogs/news/amd-thach-thuc-nvidia-grace-intel-granite-rapids-voi-epyc-the-he-5-h,P2,HERO_IMAGE_TOO_HEAVY,CLS_LAYOUT_RISK,resize/nén hero + nén ảnh >300KB + gỡ/thay ảnh external,0,0
83,1002807631,Có Nên Dùng Đế Tản Nhiệt Cho Laptop Gaming Không?,https://sintech.vn/blogs/huong-dan/co-nen-dung-de-tan-nhiet-cho-laptop-gaming-khong,P2,BODY_HTML_LEGACY,IMAGES_MISSING_DIMENSIONS,clean HTML cũ + thêm width/height,0,0
84,1002601908,Intel Ra Mắt Tiến Trình 18A: Bước Đột Phá Cho Bộ Phận Foundry Trong Cuộc Đua Công Nghệ!,https://sintech.vn/blogs/news/intel-ra-mat-tien-trinh-18a-buoc-dot-pha-cho-bo-phan-foundry-trong-cu,P2,HERO_IMAGE_TOO_HEAVY,IMAGES_MISSING_DIMENSIONS,resize/nén hero + nén ảnh >300KB + thêm width/height + gỡ/thay ảnh external,0,0
85,1002817045,Laptop vỏ nhựa hay kim loại – chọn sao cho đúng nhu cầu?,https://sintech.vn/blogs/huong-dan/laptop-vo-nhua-hay-kim-loai-chon-sao-cho-dung-nhu-cau,P2,HERO_IMAGE_TOO_HEAVY,BODY_HTML_LEGACY,resize/nén hero + nén ảnh >300KB + clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold,0,0
86,1002411136,Tại sao vệ sinh PC định kỳ là rất quan trọng?,https://sintech.vn/blogs/news/bang-ma-loi-mainboard-huananzhi-x99-x79,P2,BODY_HTML_LEGACY,CLS_LAYOUT_RISK,clean HTML cũ,0,0
87,1002694321,So sánh các AI: Grok “xuất sắc bất ngờ” nhưng Chat GPT vẫn là “trùm cuối”,https://sintech.vn/blogs/news/so-sanh-cac-ai-grok-xuat-sac-bat-ngo-nhung-chat-gpt-van-la-trum-cu,P2,BODY_HTML_LEGACY,CLS_LAYOUT_RISK,clean HTML cũ + gỡ/thay ảnh external,0,0
88,1002411121,Windows 12: Hệ điều hành mới nhất của Microsoft có gì hấp dẫn?,https://sintech.vn/blogs/news/windows-12-he-dieu-hanh-moi-nhat-cua-microsoft-co-gi-hap-dan,P2,BODY_HTML_LEGACY,IMAGES_MISSING_DIMENSIONS,clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
89,1002787019,Build PC Gaming Giá 10–25 Triệu Tại Quận 7 – Sintech: Ưu Đãi & Dịch Vụ Tận Tâm,https://sintech.vn/blogs/huong-dan/build-pc-gaming-gia-10-25-trieu-tai-quan-7-sintech-uu-dai-dich-vu,P2,BODY_HTML_LEGACY,IMAGES_MISSING_DIMENSIONS,clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold,0,0
90,1002408539,VRAM là gì? Bao nhiêu GB VRAM là đủ dùng? Phân biệt giữa VRAM và RAM bạn nên biết,https://sintech.vn/blogs/news/vram-la-gi-bao-nhieu-gb-vram-la-du-dung-phan-biet-giua-vram-va-ram-b,P2,BODY_HTML_LEGACY,IMAGES_MISSING_DIMENSIONS,clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
91,1002760491,CPU for Programming & Đồ Hoạ: Vì sao Intel i5/i7/i9 là lựa chọn hàng đầu cho Adobe?,https://sintech.vn/blogs/huong-dan/cpu-for-programming-do-hoa-vi-sao-intel-i5-i7-i9-la-lua-chon-hang-d,P2,BODY_HTML_LEGACY,IMAGES_MISSING_DIMENSIONS,clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold,0,0
92,1002788933,Có Nên Cắm Sạc Laptop Khi Không Sử Dụng? Giải Đáp Chi Tiết Nhất 2025,https://sintech.vn/blogs/huong-dan/co-nen-cam-sac-laptop-khi-khong-su-dung-giai-dap-chi-tiet-nhat-2025,P2,BODY_HTML_LEGACY,IMAGES_MISSING_DIMENSIONS,clean HTML cũ + thêm width/height,0,0
93,1002734197,AI Overviews – Khi Google làm thay đổi luật chơi SEO,https://sintech.vn/blogs/news/ai-overviews-khi-google-lam-thay-doi-luat-choi-seo,P2,BODY_HTML_LEGACY,IMAGES_MISSING_DIMENSIONS,clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
94,1002810140,Cách Nhận Biết Video Được Tạo Bởi AI – Và Cách Tự Kiểm Tra Thật Giả Mà Không Cần Công Cụ Chuyên Sâu,https://sintech.vn/blogs/huong-dan/cach-nhan-biet-video-duoc-tao-boi-ai-va-cach-tu-kiem-tra-that-gia-ma,P2,HERO_IMAGE_TOO_HEAVY,INLINE_IMAGES_TOO_HEAVY,resize/nén hero + nén ảnh >300KB + clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold,0,0
95,1002711258,Telegram ra mắt ví tiền điện tử tại Mỹ trong khi ở Việt Nam còn nhiều hạn chế,https://sintech.vn/blogs/news/telegram-ra-mat-vi-tien-dien-tu-tai-my,P2,IMAGES_BROKEN,HERO_IMAGE_TOO_HEAVY,thay ảnh chết + resize/nén hero + nén ảnh >300KB + clean HTML cũ + thêm width/height + gỡ/thay ảnh external,0,0
96,1002404303,Sự khác nhau ổ cứng SSD và HDD,https://sintech.vn/blogs/news/su-khac-nhau-o-cung-ssd-va-hdd,P2,BODY_HTML_LEGACY,IMAGES_MISSING_DIMENSIONS,clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
97,1002594009,"Dòng APU AMD Gorgon Point ""Ryzen AI"" Lộ Diện: Xung Nhịp Cao Hơn, NPU Trên 55 TOPS – Ryzen AI MAX ""Medusa/Zen 6"" Được Xác Nhận",https://sintech.vn/blogs/news/dong-apu-amd-gorgon-point-ryzen-ai-lo-dien-xung-nhip-cao-hon-npu-t,P2,HERO_IMAGE_TOO_HEAVY,BODY_HTML_LEGACY,resize/nén hero + nén ảnh >300KB + clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
98,1002773929,Chọn màn hình PC cho lập trình & UI/UX (2025): Hướng dẫn chi tiết từ A–Z,https://sintech.vn/blogs/huong-dan/chon-man-hinh-pc-cho-lap-trinh-ui-ux-2025-huong-dan-chi-tiet-tu-a,P2,BODY_HTML_LEGACY,CLS_LAYOUT_RISK,clean HTML cũ,0,0
99,1002497829,Thông Số Intel Arc B570 GPU Rò Rỉ Thông Tin: Sức Mạnh Card Tầm Trung Được Hé Lộ,https://sintech.vn/blogs/news/thong-so-intel-arc-b570-gpu-ro-ri-thong-tin-suc-manh-card-tam-trung-d,P2,BODY_HTML_LEGACY,IMAGES_MISSING_DIMENSIONS,clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold,0,0
100,1002708558,Balo AirPods? Bravest Studios ra mắt AirPack – món đồ “gây lú” nhất mùa hè 2025,https://sintech.vn/blogs/news/balo-airpods-bravest-studios-ra-mat-airpack-mon-do-gay-lu-nhat,P2,BODY_HTML_LEGACY,IMAGES_MISSING_DIMENSIONS,clean HTML cũ + thêm width/height + gỡ/thay ảnh external,0,0
101,1002420464,Ghế công thái học và ghế Gaming: Đâu là lựa chọn tốt nhất?,https://sintech.vn/blogs/news/ghe-cong-thai-hoc-va-ghe-gaming-dau-la-lua-chon-tot-nhat,P2,IMAGES_BROKEN,IMAGES_MISSING_LAZYLOAD,thay ảnh chết + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
102,1002411270,"Đánh giá SSD Samsung T5 EVO: Thiết kế nhỏ gọn, lưu trữ khủng lên đến 8TB",https://sintech.vn/blogs/news/danh-gia-ssd-samsung-t5-evo-thiet-ke-nho-gon-luu-tru-khung-len-den-8,P2,BODY_HTML_LEGACY,CLS_LAYOUT_RISK,clean HTML cũ,0,0
103,1002763192,"DDR4 vs DDR5 16GB 2025: khác gì nhau, có nên nâng cấp? So sánh hiệu năng chơi game & làm việc",https://sintech.vn/blogs/huong-dan/ddr4-vs-ddr5-16gb-2025-khac-gi-nhau-co-nen-nang-cap-so-sanh-hieu-na,P2,BODY_HTML_LEGACY,IMAGES_MISSING_DIMENSIONS,clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold,0,0
104,1002593968,"NVIDIA tung RTX 5060 Ti ngay khi hết lệnh cấm review, RTX 5060 ra mắt tháng 5!",https://sintech.vn/blogs/news/nvidia-tung-rtx-5060-ti-ngay-khi-het-lenh-cam-review-rtx-5060-ra-mat,P3,CLS_LAYOUT_RISK,,nén ảnh >300KB + gỡ/thay ảnh external,0,0
105,1002695541,Microsoft sa thải gần 9.000 nhân viên để tài trợ cho AI: Khi AI bắt đầu thay thế con người,https://sintech.vn/blogs/news/microsoft-sa-thai-gan-9-000-nhan-vien-de-tai-tro-cho-ai-khi-ai-bat-da,P2,BODY_HTML_LEGACY,CLS_LAYOUT_RISK,clean HTML cũ + gỡ/thay ảnh external,0,0
106,1002783276,"Phân Biệt USB 2.0, USB 3.2 (Gen 1 / Gen 2 / Gen 2×2) và USB 4.0",https://sintech.vn/blogs/huong-dan/phan-biet-usb-2-0-usb-3-2-gen-1-gen-2-gen-2-2-va-usb-4-0,P2,BODY_HTML_LEGACY,DOM_TOO_LARGE,clean HTML cũ,0,0
107,1002401227,"NVIDIA RTX 50 Series: ""Mạnh mẽ"" hiệu năng trong diện mạo ""thanh lịch""",https://sintech.vn/blogs/news/nvidia-rtx-50-series-manh-me-hieu-nang-trong-dien-mao-thanh-lich,P2,BODY_HTML_LEGACY,CLS_LAYOUT_RISK,clean HTML cũ,0,0
108,1002416741,"Cách phân biệt Clicky, Linear và Tactile switch chính xác nhất",https://sintech.vn/blogs/news/cach-phan-biet-clicky-linear-va-tactile-switch-chinh-xac-nhat,P2,BODY_HTML_LEGACY,CLS_LAYOUT_RISK,clean HTML cũ,0,0
109,1002719467,Top 10 Sai Lầm Khi Build PC Mà Ai Cũng Dễ Mắc Phải,https://sintech.vn/blogs/huong-dan/top-10-sai-lam-khi-build-pc-ma-ai-cung-de-mac-phai,P3,IMAGES_MISSING_DIMENSIONS,CLS_LAYOUT_RISK,nén ảnh >300KB + thêm width/height,0,0
110,1002413900,Google vừa cập nhật loạt tính năng hữu ích cho người dùng thích mở nhiều tab trên trình duyệt Chrome,https://sintech.vn/blogs/news/google-vua-cap-nhat-loat-tinh-nang-huu-ich-cho-nguoi-dung-thich-mo-nhi,P2,HERO_IMAGE_WRONG_DIMENSION,CLS_LAYOUT_RISK,gỡ/thay ảnh external,0,0
111,1002400132,"Cấu hình chơi Valorant Trên PC, Laptop",https://sintech.vn/blogs/news/cau-hinh-choi-valorant-tren-pc-laptop,P2,IMAGES_BROKEN,CLS_LAYOUT_RISK,thay ảnh chết + gỡ/thay ảnh external,0,0
112,1002761261,"Build PC 12–15 Triệu Cho Học Sinh, Sinh Viên: Học Tập Và Chơi LoL, Valorant, FO4",https://sintech.vn/blogs/huong-dan/build-pc-12-15-trieu-cho-hoc-sinh-sinh-vien-hoc-tap-va-choi-lol-val,P2,BODY_HTML_LEGACY,IMAGES_MISSING_DIMENSIONS,clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold,0,0
113,1002721462,"Lưu mật khẩu trên trình duyệt web: Thói quen tiện lợi đang trở thành ""cửa ngõ"" cho tin tặc",https://sintech.vn/blogs/news/luu-mat-khau-tren-trinh-duyet-web-thoi-quen-tien-loi-dang-tro-thanh,P2,BODY_HTML_LEGACY,IMAGES_MISSING_DIMENSIONS,clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
114,1002802434,ChatGPT Atlas có gì thú vị? Toàn cảnh trình duyệt AI thế hệ mới,https://sintech.vn/blogs/huong-dan/chatgpt-atlas-co-gi-thu-vi-toan-canh-trinh-duyet-ai-the-he-moi,P2,BODY_HTML_LEGACY,IMAGES_MISSING_DIMENSIONS,clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold,0,0
115,1002401045,"Cấu hình chơi Black Myth: Wukong trên PC, Laptop",https://sintech.vn/blogs/news/cau-hinh-choi-black-myth-wukong-tren-pc-laptop,P2,HERO_IMAGE_TOO_HEAVY,BODY_HTML_LEGACY,resize/nén hero + nén ảnh >300KB + clean HTML cũ + bỏ/lazy embed + thêm width/height + gỡ/thay ảnh external,0,0
116,1002699809,Robot siêu nhỏ: Tương lai vi mô mở ra trước mắt,https://sintech.vn/blogs/news/robot-sieu-nho-tuong-lai-vi-mo-mo-ra-truoc-mat,P2,BODY_HTML_LEGACY,IMAGES_MISSING_DIMENSIONS,clean HTML cũ + thêm width/height,0,0
117,1002358515,Microsoft kết thúc hỗ trợ Windows 11 21H2 và 22H2 sau 90 ngày,https://sintech.vn/blogs/news/microsoft-ket-thuc-ho-tro-windows-11-21h2-va-22h2-sau-90-ngay,P2,BODY_HTML_LEGACY,CLS_LAYOUT_RISK,clean HTML cũ,0,0
118,1002696093,FolderDrive – Khi biểu tượng thư mục bước ra đời thực,https://sintech.vn/blogs/news/folderdrive-khi-bieu-tuong-thu-muc-buoc-ra-doi-thuc,P2,BODY_HTML_LEGACY,IMAGES_MISSING_DIMENSIONS,clean HTML cũ + thêm width/height,0,0
119,1002402235,Intel Arrow Lake-S “Core Ultra 200” sẽ ra mắt vào tháng 10,https://sintech.vn/blogs/news/intel-arrow-lake-s-core-ultra-200-se-ra-mat-vao-thang-10,P2,BODY_HTML_LEGACY,CLS_LAYOUT_RISK,clean HTML cũ,0,0
120,1002413792,Vì sao Sony bị game thủ 'ném đá' dữ dội khi hé lộ PS5 Pro?,https://sintech.vn/blogs/news/vi-sao-sony-bi-game-thu-nem-da-du-doi-khi-he-lo-ps5-pro,P2,HERO_IMAGE_WRONG_DIMENSION,CLS_LAYOUT_RISK,gỡ/thay ảnh external,0,0
121,1002398115,Những máy tính để bàn tốt nhất cho doanh nghiệp năm 2024,https://sintech.vn/blogs/news/nhung-may-tinh-de-ban-tot-nhat-cho-doanh-nghiep-nam-2024,P3,IMAGES_MISSING_DIMENSIONS,IMAGES_MISSING_LAZYLOAD,thêm width/height + lazy-load ảnh dưới fold,0,0
122,1002411393,"Notion AI: Trợ lý viết lách thông minh, nâng cao hiệu suất làm việc",https://sintech.vn/blogs/news/notion-ai-tro-ly-viet-lach-thong-minh-nang-cao-hieu-suat-lam-viec,P3,IMAGES_MISSING_DIMENSIONS,IMAGES_MISSING_LAZYLOAD,thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
123,1002541606,"Sửa Máy Tính Quận 3 Giá Rẻ, Kỹ thuật giỏi tại Sintech",https://sintech.vn/blogs/news/sua-may-tinh-quan-3-gia-re-ky-thuat-gioi-tai-sintech,P3,CLS_LAYOUT_RISK,,gỡ/thay ảnh external,0,0
124,1002414223,"ROG và TUF, laptop nào của ASUS phù hợp với bạn?",https://sintech.vn/blogs/news/rog-va-tuf-laptop-nao-cua-asus-phu-hop-voi-ban,P3,IMAGES_MISSING_LAZYLOAD,CLS_LAYOUT_RISK,nén ảnh >300KB + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
125,1002417568,Gợi ý top chuột gaming Rapoo giá rẻ đến từ thương hiệu Rapoo,https://sintech.vn/blogs/news/goi-y-top-chuot-gaming-rapoo-gia-re-den-tu-thuong-hieu-rapoo,P3,IMAGES_MISSING_DIMENSIONS,IMAGES_MISSING_LAZYLOAD,thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
126,1002414135,4 cách khắc phục lỗi màn hình xanh 'chết chóc' trên Windows 11,https://sintech.vn/blogs/news/4-cach-khac-phuc-loi-man-hinh-xanh-chet-choc-tren-windows-11,P3,IMAGES_MISSING_LAZYLOAD,CLS_LAYOUT_RISK,lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
127,1002413818,Chip A18 trên iPhone 16 lộ điểm benchmark khó hiểu,https://sintech.vn/blogs/news/chip-a18-tren-iphone-16-lo-diem-benchmark-kho-hieu,P3,CLS_LAYOUT_RISK,,gỡ/thay ảnh external,0,0
128,1002411439,Tất Tần Tật Về PCIe 7.0: Bứt Phá Hiệu Năng Máy Tính Trong Năm 2025,https://sintech.vn/blogs/news/tat-tan-tat-ve-pcie-7-0-but-pha-hieu-nang-may-tinh-trong-nam-2024,P2,HERO_IMAGE_TOO_HEAVY,IMAGES_MISSING_DIMENSIONS,resize/nén hero + nén ảnh >300KB + thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
129,1002583884,CEO Gốc Hoa Thống Lĩnh Đỉnh Cao Công Nghệ Mỹ,https://sintech.vn/blogs/news/ceo-goc-hoa-thong-linh-dinh-cao-cong-nghe-my,P3,CLS_LAYOUT_RISK,,gỡ/thay ảnh external,0,0
130,1002399793,"Cấu hình chơi Apex Legends trên PC, Laptop",https://sintech.vn/blogs/news/cau-hinh-choi-apex-legends-tren-pc-laptop,P3,CLS_LAYOUT_RISK,,nén ảnh >300KB + gỡ/thay ảnh external,0,0
131,1002404134,Hướng dẫn cách chọn mainboard cho PC tối ưu nhất,https://sintech.vn/blogs/news/huong-dan-cach-chon-mainboard-cho-pc-toi-uu-nhat,P3,IMAGES_MISSING_DIMENSIONS,IMAGES_MISSING_LAZYLOAD,thêm width/height + lazy-load ảnh dưới fold,0,0
132,1002402763,Cách chọn CPU: Hướng dẫn đầy đủ cho người mới bắt đầu xây dựng PC,https://sintech.vn/blogs/news/cach-chon-cpu-huong-dan-day-du-cho-nguoi-moi-bat-dau-xay-dung-pc,P3,IMAGES_MISSING_DIMENSIONS,IMAGES_MISSING_LAZYLOAD,thêm width/height + lazy-load ảnh dưới fold,0,0
133,1002538817,"Intel Được Đồn Đoán Sẽ Ra Mắt GPU Battlemage 24GB Bộ Nhớ Vào Năm 2025, Hướng Tới Thị Trường Năng Suất",https://sintech.vn/blogs/news/intel-duoc-don-doan-se-ra-mat-gpu-battlemage-24gb-bo-nho-vao-nam-2025,P3,CLS_LAYOUT_RISK,,gỡ/thay ảnh external,0,0
134,1002431172,Chia sẻ cách gập màn hình laptop mà không tắt máy win 10 và win 11 cực nhanh gọn,https://sintech.vn/blogs/news/chia-se-cach-gap-man-hinh-laptop-ma-khong-tat-may-win-10-va-win-11-cuc,P3,IMAGES_MISSING_DIMENSIONS,IMAGES_MISSING_LAZYLOAD,thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
135,1002411203,"Sự kiện IFA 2024: Bùng nổ sáng tạo, định hình xu hướng công nghệ mới",https://sintech.vn/blogs/news/su-kien-ifa-2024-bung-no-sang-tao-dinh-hinh-xu-huong-cong-nghe-moi,P2,HERO_IMAGE_TOO_HEAVY,INLINE_IMAGES_TOO_HEAVY,resize/nén hero + nén ảnh >300KB + clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
136,1002420295,"OpenAI o1: Đột phá trong xử lý ngôn ngữ tự nhiên, vượt xa mong đợi",https://sintech.vn/blogs/news/openai-o1-dot-pha-trong-xu-ly-ngon-ngu-tu-nhien-vuot-xa-mong-doi,P3,IMAGES_MISSING_DIMENSIONS,IMAGES_MISSING_LAZYLOAD,thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
137,1002574943,"AMD xác nhận ngày ra mắt Ryzen 9 9900X3D & 9950X3D, Trung Quốc rò rỉ giá bán dự kiến",https://sintech.vn/blogs/news/amd-xac-nhan-ngay-ra-mat-ryzen-9-9900x3d-9950x3d-trung-quoc-ro-ri-g,P3,IMAGES_MISSING_DIMENSIONS,IMAGES_MISSING_LAZYLOAD,thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
138,1002430565,Ép xung RAM là gì? Hướng dẫn cách ép xung RAM an toàn cho laptop,https://sintech.vn/blogs/news/ep-xung-ram-la-gi-huong-dan-cach-ep-xung-ram-an-toan-cho-laptop,P2,INLINE_IMAGES_TOO_HEAVY,BODY_HTML_LEGACY,clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
139,1002411087,Rò rỉ về Nvidia RTX 5080 khiến một số game thủ PC lo lắng rằng Nvidia chưa rút ra bài học từ vụ lùm xùm với RTX 4080.,https://sintech.vn/blogs/news/ro-ri-ve-nvidia-rtx-5080-khien-mot-so-game-thu-pc-lo-lang-rang-nvidia,P3,CLS_LAYOUT_RISK,,gỡ/thay ảnh external,0,0
140,1002574920,Laptop NVIDIA RTX 50 bị trì hoãn! Dời lịch ra mắt dự kiến vào tháng 4-5,https://sintech.vn/blogs/news/cap-nhat-khong-thieu-rop-laptop-nvidia-rtx-50-bi-tri-hoan-ra-mat-d,P2,HERO_IMAGE_TOO_HEAVY,CLS_LAYOUT_RISK,resize/nén hero + nén ảnh >300KB + gỡ/thay ảnh external,0,0
141,1002408489,AMD ra mắt vi xử lý Ryzen 9000 Series kiến trúc Zen 5,https://sintech.vn/blogs/news/amd-ra-mat-vi-xu-ly-ryzen-9000-series-kien-truc-zen-5,P2,BODY_HTML_LEGACY,IMAGES_MISSING_DIMENSIONS,clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
142,1002411158,RDNA 4: AMD chính thức trình làng kiến trúc đồ họa thế hệ tiếp theo,https://sintech.vn/blogs/news/rdna-4-amd-chinh-thuc-trinh-lang-kien-truc-do-hoa-the-he-tiep-theo,P2,HERO_IMAGE_TOO_HEAVY,IMAGES_MISSING_DIMENSIONS,resize/nén hero + nén ảnh >300KB + thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
143,1002414143,4 cách khắc phục lỗi màn hình đen trong Windows 11,https://sintech.vn/blogs/news/4-cach-khac-phuc-loi-man-hinh-den-trong-windows-11,P3,IMAGES_MISSING_LAZYLOAD,CLS_LAYOUT_RISK,lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
144,1002413894,"Facebook, Instagram thu thập dữ liệu tất cả người dùng Australia gồm cả tin nhắn",https://sintech.vn/blogs/news/facebook-instagram-thu-thap-du-lieu-tat-ca-nguoi-dung-australia-gom-c,P3,CLS_LAYOUT_RISK,,gỡ/thay ảnh external,0,0
145,1002413786,"Tuyên bố sẽ hạ bệ NVIDIA tại Trung Quốc, nhưng hiệu năng chip AI của Huawei lại ""hụt hơi"" khi sử dụng thực tế",https://sintech.vn/blogs/news/tuyen-bo-se-ha-be-nvidia-tai-trung-quoc-nhung-hieu-nang-chip-ai-cua-h,P3,CLS_LAYOUT_RISK,,gỡ/thay ảnh external,0,0
146,1002583974,"AMD Ưu Ái ASUS, XFX & PowerColor Trong Phân Phối RX 9070 Series?",https://sintech.vn/blogs/news/amd-uu-ai-asus-xfx-powercolor-trong-phan-phoi-rx-9070-series,P3,CLS_LAYOUT_RISK,,gỡ/thay ảnh external,0,0
147,1002411213,Gemini Live: Khám phá thế giới thông qua cuộc trò chuyện thông minh,https://sintech.vn/blogs/news/gemini-live-kham-pha-the-gioi-thong-qua-cuoc-tro-chuyen-thong-minh,P2,BODY_HTML_LEGACY,IMAGES_MISSING_DIMENSIONS,clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
148,1002434664,5 Phần Mềm Test Bàn Phím Laptop Miễn Phí Bạn Nên Thử,https://sintech.vn/blogs/news/5-phan-mem-test-ban-phim-laptop-mien-phi-ban-nen-thu,P3,IMAGES_MISSING_DIMENSIONS,IMAGES_MISSING_LAZYLOAD,thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
149,1002538874,"Intel Arc B570: Em út nhà Battlemage, hiệu năng thế nào so với B580?",https://sintech.vn/blogs/news/intel-arc-b570-em-ut-nha-battlemage-hieu-nang-the-nao-so-voi-b580,P2,IMAGES_BROKEN,IMAGES_MISSING_DIMENSIONS,thay ảnh chết + thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
150,1002538937,Dịch Vụ Sửa Máy Tính Quận 7: Cam Kết Uy Tín và Minh Bạch,https://sintech.vn/blogs/huong-dan/dich-vu-sua-may-tinh-quan-7-cam-ket-uy-tin-va-minh-bach,P3,IMAGES_MISSING_DIMENSIONS,IMAGES_MISSING_LAZYLOAD,thêm width/height + lazy-load ảnh dưới fold,0,0
151,1002413994,Smartphone cao cấp tích hợp AI của Nhà Táo. Giờ mới có khi mà đối thủ của họ ra mắt từ lâu,https://sintech.vn/blogs/news/smartphone-cao-cap-tich-hop-ai-cua-nha-ta-o-gio-mo-i-co-khi-ma-doi,P2,EMBED_HEAVY,CLS_LAYOUT_RISK,bỏ/lazy embed + gỡ/thay ảnh external,0,0
152,1002413774,"Ra mắt iPhone 16 là sự kiện ""chán nhất từ trước đến nay"" của Apple: Phép màu Steve Jobs đâu rồi?",https://sintech.vn/blogs/news/ra-mat-iphone-16-la-su-kien-chan-nhat-tu-truoc-den-nay-cua-apple-ph,P3,CLS_LAYOUT_RISK,,gỡ/thay ảnh external,0,0
